Year,Country,Avg Temperature (°C),CO2 Emissions (Tons/Capita),Sea Level Rise (cm),Population,Renewable Energy (%),Extreme Weather Events
2022,Brazil,25.54,2.283,9.41,210306411,47.66,12
2023,Brazil,25.9,2.292,9.72,211140731,48.95,16
2000,Canada,-4.24,18.344,2.28,30891800,28.54,1
2001,Canada,-3.34,17.908,2.83,31213578,27.03,3
2002,Canada,-4.46,17.893,2.76,31535579,27.33,3
2003,Canada,-3.96,18.255,3.15,31836483,26.02,7
2004,Canada,-4.9,17.935,3.17,32132680,25.7,4
2005,Canada,-3.37,17.583,3.46,32440172,27.04,5
2006,Canada,-2.72,17.287,3.64,32759174,27.21,5
2007,Canada,-4.16,17.828,3.55,33092171,26.53,3
2008,Canada,-4.48,17.167,4.11,33449088,27.37,2
2009,Canada,-4.35,15.997,4.49,33826370,27.99,3
2010,Canada,-2.45,16.209,4.74,34196900,26.57,0
2011,Canada,-3.83,16.288,4.55,34555449,27.42,3
2012,Canada,-3.49,16.086,5.42,34922513,27.86,3
2013,Canada,-4.34,16.11,5.49,35293421,27.74,3
2014,Canada,-4.39,15.854,5.95,35634265,27.03,2
2015,Canada,-3.88,15.655,6.62,35962236,27.73,1
2016,Canada,-3.19,15.231,7.16,36353345,28.46,2
2017,Canada,-3.76,15.395,7.23,36808498,28.65,3
2018,Canada,-4.62,15.42,7.54,37294996,27.66,4
2019,Canada,-4.33,15.325,8.22,37782934,27.41,2
2020,Canada,-4.25,13.733,8.32,38171903,29.46,2
2021,Canada,-3.7,13.977,8.91,38454058,29.11,4
2022,Canada,-4.22,14.107,9.41,38821259,29.5,6
2023,Canada,-1.5,13.88,9.72,39299098,27.86,4
2000,China,8.4,2.87,2.28,1269581174,5.34,28
2001,China,9.1,2.912,2.83,1278725061,6.25,33
2002,China,9.5,3.185,2.76,1286866835,5.92,28
2003,China,9.0,3.735,3.15,1294517323,5.0,27
2004,China,9.2,4.002,3.17,1302100316,5.29,24
2005,China,9.6,4.49,3.46,1310027135,5.24,31
2006,China,9.7,4.921,3.64,1318054030,5.27,37
2007,China,9.8,5.261,3.55,1325813576,5.41,18
2008,China,8.9,5.617,4.11,1333821011,6.87,30
2009,China,9.5,5.871,4.49,1342522717,6.56,26
2010,China,9.6,6.37,4.74,1351561505,7.19,25
2011,China,9.3,6.999,4.55,1360250658,6.7,20
2012,China,9.8,7.132,5.42,1369520866,8.07,28
2013,China,9.9,7.21,5.49,1379008040,8.47,43
2014,China,10.1,7.188,5.95,1387951970,9.69,41
2015,China,10.3,7.061,6.62,1396134171,10.28,36
2016,China,10.7,6.943,7.16,1404052628,11.11,33
2017,China,10.1,7.08,7.23,1412354730,11.67,30
2018,China,10.2,7.292,7.54,1419008954,12.22,22
2019,China,10.5,7.526,8.22,1423520357,12.79,16
2020,China,10.6,7.641,8.32,1426106093,13.4,12
2021,China,10.4,7.911,8.91,1426437269,14.2,17
2022,China,10.5,8.218,9.41,1425179562,15.22,12
2023,China,10.9,8.556,9.72,1422584930,15.51,17
2000,France,11.85,6.85,2.28,59483716,6.41,6
2001,France,11.41,6.871,2.83,59905131,7.07,7
2002,France,11.84,6.747,2.76,60327247,5.88,4
2003,France,11.88,6.799,3.15,60741119,5.67,6
2004,France,11.36,6.769,3.17,61175244,5.68,1
2005,France,11.35,6.756,3.46,61625031,5.12,5
2006,France,11.93,6.554,3.64,62049831,5.7,3
2007,France,11.62,6.35,3.55,62432438,6.36,3
2008,France,11.31,6.209,4.11,62780187,7.32,2
2009,France,11.7,5.885,4.49,63106460,7.41,5
2010,France,10.63,5.946,4.74,63417366,7.88,4
2011,France,12.31,5.572,4.55,63733776,6.93,1
2012,France,11.54,5.59,5.42,64058465,8.71,1
2013,France,11.1,5.591,5.49,64387736,9.86,4
2014,France,12.48,5.067,5.95,64692495,9.88,7
2015,France,12.17,5.116,6.62,64916337,9.57,3
2016,France,11.74,5.155,7.16,65086853,10.36,1
2017,France,11.96,5.183,7.23,65284775,9.8,3
2018,France,12.64,4.931,7.54,65519537,11.51,7
2019,France,12.38,4.812,8.22,65729460,11.75,11
2020,France,12.73,4.272,8.32,65905273,13.97,8
2021,France,11.58,4.65,8.91,66083547,12.91,9
2022,France,13.16,4.456,9.41,66277412,13.73,6
2023,France,13.2,4.068,9.72,66438828,15.87,8
2000,Germany,10.09,10.99,2.28,81797255,2.74,0
2001,Germany,9.21,11.171,2.83,81933882,2.8,0
2002,Germany,9.75,10.952,2.76,82068328,3.37,5
2003,Germany,9.57,10.894,3.15,82111619,3.48,3
2004,Germany,9.14,10.678,3.17,82092706,4.32,2
2005,Germany,9.26,10.578,3.46,82046733,4.99,4
2006,Germany,9.82,10.85,3.64,81701971,5.8,5
2007,Germany,10.09,10.408,3.55,81298546,7.37,3
2008,Germany,9.76,10.561,4.11,81110780,7.52,2
2009,Germany,9.51,9.761,4.49,80935276,8.15,4
2010,Germany,8.19,10.228,4.74,80830916,8.47,4
2011,Germany,10.02,9.95,4.55,80857877,10.17,0
2012,Germany,9.45,10.061,5.42,80916391,11.46,2
2013,Germany,9.07,10.263,5.49,81041581,11.6,4
2014,Germany,10.64,9.74,5.95,81376078,12.84,2
2015,Germany,10.32,9.757,6.62,82077546,14.32,0
2016,Germany,9.86,9.642,7.16,82760102,14.1,1
2017,Germany,9.91,9.441,7.23,83104010,15.39,3
2018,Germany,10.73,9.101,7.54,83368507,16.26,2
2019,Germany,10.54,8.481,8.22,83559184,17.81,3
2020,Germany,10.78,7.739,8.32,83628711,20.02,1
2021,Germany,9.49,8.101,8.91,83697080,18.08,3
2022,Germany,10.83,7.942,9.41,84086227,20.33,4
2023,Germany,10.5,7.023,9.72,84548233,23.6,4
2000,India,24.8,0.933,2.28,1057922731,6.04,20
2001,India,25.1,0.929,2.83,1077898579,5.69,21
2002,India,25.3,0.941,2.76,1097600380,5.22,18
2003,India,24.9,0.957,3.15,1116803000,5.14,17
2004,India,25.0,0.999,3.17,1135991509,6.89,7
2005,India,25.2,1.035,3.46,1154676321,6.36,31
2006,India,25.3,1.103,3.64,1172878888,7.13,20
2007,India,25.1,1.17,3.55,1190676028,7.28,20
2008,India,25.0,1.234,4.11,1207930960,6.71,11
2009,India,25.4,1.316,4.49,1225524764,5.96,17
2010,India,25.5,1.35,4.74,1243481565,6.06,18
2011,India,25.2,1.4,4.55,1261224956,6.97,13
2012,India,25.4,1.507,5.42,1278674501,6.21,10
2013,India,25.3,1.54,5.49,1295829507,6.75,12
2014,India,25.4,1.637,5.95,1312277184,6.83,16
2015,India,25.5,1.681,6.62,1328024494,6.36,22
2016,India,25.8,1.75,7.16,1343944296,6.37,16
2017,India,25.5,1.784,7.23,1359657398,6.79,18
2018,India,25.6,1.888,7.54,1374659067,7.31,23
2019,India,25.7,1.88,8.22,1389030307,8.11,14
2020,India,25.6,1.727,8.32,1402617694,8.89,11
2021,India,25.5,1.892,8.91,1414203896,8.66,19
2022,India,25.7,1.986,9.41,1425423209,9.42,7
2023,India,26.0,2.13,9.72,1438069597,8.86,17
2000,Indonesia,25.87,1.301,2.28,216077789,3.7,15
2001,Indonesia,25.93,1.446,2.83,219097905,4.1,9
2002,Indonesia,26.06,1.388,2.76,222088499,3.65,15
2003,Indonesia,25.92,1.506,3.15,225048005,3.2,16
2004,Indonesia,25.94,1.504,3.17,227926649,3.42,18
2005,Indonesia,25.95,1.505,3.46,230871648,3.49,10
2006,Indonesia,25.84,1.481,3.64,233951650,3.23,18
2007,Indonesia,25.86,1.635,3.55,237062338,3.37,19
2008,Indonesia,25.73,1.521,4.11,240157902,3.62,16
2009,Indonesia,26.0,1.639,4.49,243220024,3.74,12
2010,Indonesia,26.1,1.808,4.74,246305327,4.42,12
2011,Indonesia,25.9,2.006,4.55,249470029,3.55,12
2012,Indonesia,26.01,2.041,5.42,252698525,3.58,13
2013,Indonesia,26.07,1.929,5.49,255852464,4.53,16
2014,Indonesia,26.04,1.924,5.95,258877395,4.71,10
2015,Indonesia,26.13,2.105,6.62,261799249,4.0,12
2016,Indonesia,26.24,2.071,7.16,264627429,5.81,15
2017,Indonesia,26.05,2.136,7.23,267346654,5.52,12
2018,Indonesia,26.06,2.25,7.54,269951847,8.03,15
2019,Indonesia,26.21,2.441,8.22,272489381,8.61,19
2020,Indonesia,26.2,2.268,8.32,274814861,10.64,29
2021,Indonesia,26.01,2.287,8.91,276758056,11.08,28
2022,Indonesia,25.96,2.719,9.41,278830527,10.21,20
2023,Indonesia,25.8,2.711,9.72,281190068,10.7,15
2000,Japan,11.75,9.921,2.28,127027794,4.6,8
2001,Japan,11.4,9.79,2.83,127260144,4.51,6
2002,Japan,11.75,10.005,2.76,127484599,4.51,6
2003,Japan,11.41,10.056,3.15,127671254,5.1,6
2004,Japan,12.31,10.008,3.17,127815769,5.02,12
2005,Japan,11.44,10.057,3.46,127913331,4.52,6
2006,Japan,11.66,9.871,3.64,127997247,5.01,5
2007,Japan,12.08,10.141,3.55,128087683,4.5,8
2008,Japan,11.78,9.587,4.11,128155992,4.56,4
2009,Japan,11.84,9.051,4.49,128192471,4.76,6
2010,Japan,12.14,9.448,4.74,128185273,5.4,2
2011,Japan,11.69,9.846,4.55,128096430,5.45,7
2012,Japan,11.48,10.178,5.42,127928283,5.38,7
2013,Japan,11.9,10.271,5.49,127723642,5.83,10
2014,Japan,11.66,9.886,5.95,127486601,6.6,13
2015,Japan,12.18,9.585,6.62,127275868,7.69,10
2016,Japan,12.24,9.436,7.16,127159950,7.59,10
2017,Japan,11.66,9.321,7.23,127064686,8.03,4
2018,Japan,12.23,8.971,7.54,126913432,8.65,7
2019,Japan,12.4,8.698,8.22,126699421,8.87,10
2020,Japan,12.41,8.213,8.32,126304533,10.46,4
2021,Japan,12.45,8.422,8.91,125679342,10.81,6
2022,Japan,12.42,8.237,9.41,124997585,11.15,7
2023,Japan,14.3,7.935,9.72,124370947,11.97,6
2000,Mexico,21.17,3.969,2.28,98625553,6.66,7
2001,Mexico,20.99,4.071,2.83,100099101,5.91,5
2002,Mexico,21.18,4.04,2.76,101548627,5.12,8
2003,Mexico,21.26,4.234,3.15,102978517,4.41,9
2004,Mexico,20.98,4.201,3.17,104394131,4.99,3
2005,Mexico,21.28,4.38,3.46,105811504,5.0,7
2006,Mexico,21.44,4.424,3.64,107253666,5.18,7
2007,Mexico,21.09,4.354,3.55,108774356,4.85,7
2008,Mexico,21.06,4.285,4.11,110374286,6.04,3
2009,Mexico,21.55,4.11,4.49,111999720,4.56,8
2010,Mexico,20.78,4.017,4.74,113623898,5.95,9
2011,Mexico,21.59,4.194,4.55,115243503,5.6,12
2012,Mexico,21.66,4.293,5.42,116818208,5.19,3
2013,Mexico,21.16,4.186,5.49,118343572,4.83,5
2014,Mexico,21.39,4.041,5.95,119784265,6.43,8
2015,Mexico,21.54,3.96,6.62,121072310,5.86,4
2016,Mexico,21.75,3.917,7.16,122251344,5.73,7
2017,Mexico,22.03,3.763,7.23,123400052,5.77,7
2018,Mexico,21.66,3.76,7.54,124573713,6.34,4
2019,Mexico,21.88,3.723,8.22,125762978,6.64,6
2020,Mexico,22.08,3.383,8.32,126799053,8.67,8
2021,Mexico,21.85,3.501,8.91,127648151,9.54,10
2022,Mexico,21.7,3.528,9.41,128613116,9.24,7
2023,Mexico,19.3,3.532,9.72,129739761,7.93,2
2000,Russia,-4.38,10.091,2.28,146717784,6.35,23
2001,Russia,-4.29,10.389,2.83,146117290,6.59,11
2002,Russia,-3.84,10.335,2.76,145939502,6.13,11
2003,Russia,-3.64,10.556,3.15,145794230,5.74,5
2004,Russia,-4.29,10.644,3.17,145180091,6.39,8
2005,Russia,-3.39,10.816,3.46,144597886,6.23,8
2006,Russia,-4.56,11.266,3.64,144102948,5.96,5
2007,Russia,-2.83,11.291,3.55,143859767,6.03,3
2008,Russia,-3.24,11.492,4.11,143811837,5.54,1
2009,Russia,-4.46,10.741,4.49,143869128,6.13,0
2010,Russia,-4.36,11.346,4.74,143934468,5.6,8
2011,Russia,-3.26,11.698,4.55,144043751,5.27,3
2012,Russia,-3.89,11.782,5.42,144291025,5.23,8
2013,Russia,-3.5,11.324,5.49,144604105,5.82,3
2014,Russia,-3.56,11.298,5.95,144925639,5.53,1
2015,Russia,-2.88,11.254,6.62,145307612,5.42,2
2016,Russia,-3.21,11.177,7.16,145778668,5.81,3
2017,Russia,-2.89,11.362,7.23,146186798,5.77,2
2018,Russia,-3.41,11.677,7.54,146430146,5.71,2
2019,Russia,-2.85,11.632,8.22,146533063,5.86,5
2020,Russia,-1.74,11.149,8.32,146371295,6.68,0
2021,Russia,-3.65,11.482,8.91,145836172,6.59,5
2022,Russia,-2.87,11.509,9.41,145579889,5.92,3
2023,Russia,-5.1,11.916,9.72,145440502,5.91,4
2000,South Africa,17.55,8.022,2.28,47159715,0.39,5
2001,South Africa,17.81,7.812,2.83,47566805,0.51,6
2002,South Africa,17.85,7.424,2.76,48019414,0.66,9
2003,South Africa,18.21,8.338,3.15,48500351,0.33,2
2004,South Africa,18.49,9.171,3.17,48991420,0.33,3
2005,South Africa,18.49,8.41,3.46,49490041,0.38,1
2006,South Africa,17.97,8.935,3.64,49998271,0.69,2
2007,South Africa,18.29,9.203,3.55,50528575,0.72,3
2008,South Africa,18.41,9.678,4.11,51114595,0.37,4
2009,South Africa,18.33,9.173,4.49,51728518,0.39,3
2010,South Africa,18.58,8.928,4.74,52344047,0.31,1
2011,South Africa,17.89,8.949,4.55,52995212,0.69,3
2012,South Africa,18.13,8.58,5.42,53782570,0.36,2
2013,South Africa,18.2,8.343,5.49,54678789,0.4,1
2014,South Africa,18.41,8.663,5.95,55594840,0.81,2
2015,South Africa,18.87,8.065,6.62,56723536,1.29,1
2016,South Africa,18.98,7.982,7.16,57259550,1.48,3
2017,South Africa,18.51,7.634,7.23,57635158,2.16,5
2018,South Africa,18.65,7.742,7.54,58613001,2.29,0
2019,South Africa,19.27,7.9,8.22,59587880,2.24,6
2020,South Africa,18.47,7.188,8.32,60562374,2.58,2
2021,South Africa,18.06,7.145,8.91,61502602,3.25,4
2022,South Africa,18.42,6.874,9.41,62378417,3.65,8
2023,South Africa,18.2,6.907,9.72,63212386,3.76,6
2000,UK,9.16,9.635,2.28,59057333,1.09,5
2001,UK,8.96,9.749,2.83,59288095,1.04,3
2002,UK,9.53,9.41,2.76,59540764,1.24,5
2003,UK,9.55,9.556,3.15,59820385,1.19,1
2004,UK,9.46,9.53,3.17,60169964,1.55,1
2005,UK,9.47,9.412,3.46,60596107,1.86,5
2006,UK,9.7,9.301,3.64,61051093,2.05,0
2007,UK,9.65,9.093,3.55,61535859,2.34,5
2008,UK,9.17,8.785,4.11,62027303,2.81,2
2009,UK,9.27,7.905,4.49,62506222,2.99,3
2010,UK,8.17,8.125,4.74,63006482,3.04,3
2011,UK,9.55,7.396,4.55,63509285,4.27,1
2012,UK,8.9,7.622,5.42,63960488,4.87,4
2013,UK,8.87,7.418,5.49,64389386,6.66,5
2014,UK,9.93,6.765,5.95,64865914,8.51,2
2015,UK,9.18,6.461,6.62,65382107,10.56,2
2016,UK,9.35,6.062,7.16,65893359,10.66,1
2017,UK,9.62,5.838,7.23,66354473,12.44,2
2018,UK,9.49,5.689,7.54,66752473,13.98,3
2019,UK,9.55,5.435,8.22,67110958,15.68,3
2020,UK,9.68,4.844,8.32,67351860,19.07,4
2021,UK,9.39,5.059,8.91,67668788,17.48,1
2022,UK,10.11,4.563,9.41,68179315,19.07,5
2023,UK,9.9,4.482,9.72,68682965,19.98,2
2000,USA,9.21,21.398,2.28,281484126,3.86,31
2001,USA,9.43,20.767,2.83,284279634,3.29,27
2002,USA,9.45,20.718,2.76,287084335,3.85,31
2003,USA,9.44,20.718,3.15,289908091,4.01,23
2004,USA,9.39,20.874,3.17,292786248,3.94,20
2005,USA,9.67,20.719,3.46,295716666,4.06,16
2006,USA,9.82,20.237,3.64,298730208,4.5,30
2007,USA,9.64,20.28,3.55,301844223,4.22,23
2008,USA,8.79,19.409,4.11,304970325,4.83,22
2009,USA,8.94,17.811,4.49,308023452,5.6,17
2010,USA,9.35,18.225,4.74,311062785,5.64,15
2011,USA,9.38,17.634,4.55,314105075,6.65,22
2012,USA,10.07,16.812,5.42,317115349,6.65,25
2013,USA,9.09,17.099,5.49,320110752,6.89,28
2014,USA,9.43,17.119,5.95,323115377,7.01,20
2015,USA,10.22,16.461,6.62,326126496,7.22,29
2016,USA,10.64,15.935,7.16,329179423,7.99,27
2017,USA,10.22,15.639,7.23,332204657,8.75,24
2018,USA,9.89,16.001,7.54,335056492,8.64,20
2019,USA,9.73,15.5,8.22,337790069,8.97,21
2020,USA,10.02,13.817,8.32,339436156,10.12,23
2021,USA,10.01,14.758,8.91,340161438,10.12,43
2022,USA,9.73,14.802,9.41,341534041,10.87,27
2023,USA,10.2,14.319,9.72,343477330,11.21,25
